t_s,mem_available_kb,mem_total_kb,matching_rss_kb,n_matching,detail
0.1,7382228,8216340,333664,4,"4713:6208kB;5069:166988kB;5070:150000kB;5072:10468kB"
5.1,6976688,8216340,682496,4,"4713:6208kB;5069:476856kB;5070:188764kB;5072:10668kB"
10.1,6952896,8216340,705448,4,"4713:6208kB;5069:499808kB;5070:188764kB;5072:10668kB"
15.1,6979756,8216340,699240,3,"5069:499808kB;5070:188764kB;5072:10668kB"
20.1,6981416,8216340,699240,3,"5069:499808kB;5070:188764kB;5072:10668kB"
25.2,6978904,8216340,699240,3,"5069:499808kB;5070:188764kB;5072:10668kB"
30.2,6978904,8216340,699240,3,"5069:499808kB;5070:188764kB;5072:10668kB"
35.2,6978904,8216340,699244,3,"5069:499808kB;5070:188764kB;5072:10672kB"
40.2,6978904,8216340,699244,3,"5069:499808kB;5070:188764kB;5072:10672kB"
45.2,6978904,8216340,699248,3,"5069:499808kB;5070:188764kB;5072:10676kB"
50.2,6978904,8216340,699248,3,"5069:499808kB;5070:188764kB;5072:10676kB"
55.2,6978904,8216340,699248,3,"5069:499808kB;5070:188764kB;5072:10676kB"
60.2,6978904,8216340,699248,3,"5069:499808kB;5070:188764kB;5072:10676kB"
65.3,6978904,8216340,699248,3,"5069:499808kB;5070:188764kB;5072:10676kB"
70.3,6978904,8216340,699248,3,"5069:499808kB;5070:188764kB;5072:10676kB"
75.3,6978896,8216340,699248,3,"5069:499808kB;5070:188764kB;5072:10676kB"
80.3,7135680,8216340,546436,3,"5069:346996kB;5070:188764kB;5072:10676kB"
85.3,6935028,8216340,752596,3,"5069:553156kB;5070:188764kB;5072:10676kB"
90.3,6933528,8216340,752596,3,"5069:553156kB;5070:188764kB;5072:10676kB"
95.4,6933528,8216340,752596,3,"5069:553156kB;5070:188764kB;5072:10676kB"
100.4,6933528,8216340,752596,3,"5069:553156kB;5070:188764kB;5072:10676kB"
105.4,6933528,8216340,752596,3,"5069:553156kB;5070:188764kB;5072:10676kB"
