t,combined_kb,13_59,16_49
0.0005567073822021484,212,204,8
2.00423002243042,555540,284720,270820
4.004513263702393,992864,484064,508800
6.0055317878723145,1250820,628904,621916
8.005818128585815,1713056,972812,740244
10.006108522415161,1942256,1000148,942108
12.006428241729736,2256136,1130640,1125496
14.006699085235596,2494888,1246536,1248352
16.006978750228882,3068492,1691484,1377008
18.00729489326477,3322804,1642844,1679960
20.00760817527771,3935004,1851820,2083184
22.007872104644775,3959424,1983928,1975496
24.008198976516724,4250740,2106764,2143976
26.00847816467285,4491384,2222656,2268728
28.00874090194702,4670604,2271908,2398696
30.00900173187256,4707856,2271908,2435948
32.009286880493164,4707856,2271908,2435948
34.012207984924316,4707856,2271908,2435948
36.012474060058594,4707856,2271908,2435948
38.012797117233276,4707856,2271908,2435948
40.01307678222656,4707856,2271908,2435948
42.01333451271057,4707856,2271908,2435948
44.01360750198364,4707856,2271908,2435948
46.01387095451355,4707856,2271908,2435948
48.01414918899536,4707856,2271908,2435948
50.014418601989746,4707856,2271908,2435948
52.014673948287964,4707856,2271908,2435948
54.01493835449219,4707856,2271908,2435948
56.01526498794556,4707856,2271908,2435948
58.015573501586914,4707856,2271908,2435948
60.01584601402283,4707856,2271908,2435948
62.01618766784668,4707856,2271908,2435948
64.02020931243896,4707856,2271908,2435948
66.02048754692078,4707856,2271908,2435948
68.02076005935669,4707856,2271908,2435948
70.02102088928223,4707856,2271908,2435948
72.02129912376404,4707856,2271908,2435948
74.02156043052673,4707856,2271908,2435948
76.02182412147522,4707856,2271908,2435948
78.0221061706543,4707856,2271908,2435948
80.02236771583557,4707856,2271908,2435948
82.02262473106384,4707856,2271908,2435948
84.02289605140686,4707856,2271908,2435948
86.02318334579468,4707856,2271908,2435948
88.02348494529724,4707856,2271908,2435948
90.02375435829163,4707856,2271908,2435948
92.02401876449585,4707856,2271908,2435948
94.02433109283447,4707856,2271908,2435948
96.02460932731628,4707856,2271908,2435948
98.02491617202759,4707856,2271908,2435948
100.02820420265198,4707856,2271908,2435948
102.02846574783325,4707856,2271908,2435948
104.02873468399048,4707856,2271908,2435948
106.02900195121765,4707856,2271908,2435948
108.02934551239014,4707856,2271908,2435948
110.02960872650146,4707856,2271908,2435948
112.02987623214722,4707856,2271908,2435948
114.03014993667603,4707856,2271908,2435948
116.03045606613159,4707856,2271908,2435948
118.03073310852051,4707856,2271908,2435948
120.03101921081543,4707856,2271908,2435948
122.03131747245789,4707856,2271908,2435948
124.03159260749817,4707856,2271908,2435948
126.03186988830566,4707856,2271908,2435948
128.03216695785522,4707856,2271908,2435948
130.036208152771,4707856,2271908,2435948
132.0364797115326,4707856,2271908,2435948
134.03675389289856,4707856,2271908,2435948
136.0370237827301,4707856,2271908,2435948
138.03731274604797,4707856,2271908,2435948
140.03773999214172,2435948,,2435948
142.03831219673157,2435948,,2435948
144.0388581752777,2435948,,2435948
146.03930497169495,2435948,,2435948
148.0396707057953,2435948,,2435948
150.03998017311096,2435948,,2435948
152.0404350757599,2435948,,2435948
154.04081344604492,2435948,,2435948
156.04111909866333,2435948,,2435948
158.04222583770752,2435948,,2435948
160.04368257522583,2435948,,2435948
162.04409623146057,2435948,,2435948
164.0444576740265,2435948,,2435948
166.04477405548096,2435948,,2435948
168.04509711265564,2435948,,2435948
170.0454478263855,2435948,,2435948
172.04615783691406,2435948,,2435948
174.0465054512024,2435948,,2435948
176.0468237400055,2435948,,2435948
178.04747223854065,2435948,,2435948
180.05497646331787,2435948,,2435948
182.05867886543274,2435948,,2435948
184.06881976127625,2435948,,2435948
186.07930278778076,2435948,,2435948
188.08427047729492,2435948,,2435948
190.08495140075684,2435948,,2435948
192.08539509773254,2435948,,2435948
194.08571815490723,2435948,,2435948
196.08601760864258,2435948,,2435948
198.08638453483582,2435948,,2435948
200.08673405647278,2435948,,2435948
202.08709907531738,2435948,,2435948
204.08744645118713,2435948,,2435948
206.08776140213013,2435948,,2435948
208.08884525299072,2435948,,2435948
210.0891637802124,2435948,,2435948
212.0894525051117,2435948,,2435948
214.08980512619019,2435948,,2435948
216.09017252922058,2435948,,2435948
218.09072947502136,2435948,,2435948
220.09134936332703,2435948,,2435948
222.09164357185364,2435948,,2435948
224.09208846092224,2435948,,2435948
226.0924572944641,2435948,,2435948
228.09275484085083,2435948,,2435948
230.0931315422058,2435948,,2435948
232.09356665611267,2435948,,2435948
234.09389448165894,2435948,,2435948
236.09422397613525,2435948,,2435948
238.0945074558258,2435948,,2435948
240.0947880744934,2435948,,2435948
242.09512066841125,2435948,,2435948
244.09541201591492,2435948,,2435948
246.0956974029541,2435948,,2435948
248.09598803520203,2435948,,2435948
250.09632420539856,2435948,,2435948
252.09660863876343,2435948,,2435948
254.09695029258728,2435948,,2435948
256.09730076789856,2435948,,2435948
258.09760427474976,2435948,,2435948
260.09794306755066,2435948,,2435948
262.0983817577362,2435948,,2435948
264.0986661911011,2435948,,2435948
266.0989902019501,2435948,,2435948
268.1010365486145,2435948,,2435948
270.10136365890503,2435948,,2435948
272.1016597747803,2435948,,2435948
274.1019649505615,2435948,,2435948
276.10232424736023,2435948,,2435948
278.1027421951294,2435948,,2435948
280.1031024456024,2435948,,2435948
282.10341715812683,2435948,,2435948
284.1037609577179,2435948,,2435948
286.1069185733795,2435948,,2435948
288.1072714328766,2435948,,2435948
290.10787057876587,2435948,,2435948
292.1082055568695,2435948,,2435948
294.1085216999054,2435948,,2435948
296.108845949173,2435948,,2435948
298.10917949676514,2435948,,2435948
300.10948038101196,2435948,,2435948
302.1097888946533,2435948,,2435948
304.1114134788513,2435948,,2435948
306.1117789745331,2435948,,2435948
308.11216473579407,2435948,,2435948
310.1124656200409,2435948,,2435948
312.1127550601959,2435948,,2435948
314.11307859420776,2435948,,2435948
316.1133785247803,2435948,,2435948
318.11368012428284,2435948,,2435948
320.1139748096466,2435948,,2435948
322.1143283843994,2435948,,2435948
324.114643573761,2435948,,2435948
326.11495876312256,2435948,,2435948
328.1152949333191,2435948,,2435948
330.1155903339386,2435948,,2435948
332.1158893108368,2435948,,2435948
334.1162405014038,2435948,,2435948
336.11659598350525,2435948,,2435948
338.11697244644165,2435948,,2435948
340.1173667907715,2435948,,2435948
342.1177644729614,2435948,,2435948
344.1181204319,2435948,,2435948
346.1184344291687,2435948,,2435948
348.1187448501587,2435948,,2435948
350.11914563179016,2435948,,2435948
352.1195333003998,2435948,,2435948
354.1198706626892,2435948,,2435948
356.12019896507263,2435948,,2435948
358.1205132007599,2435948,,2435948
360.120822429657,2435948,,2435948
362.12112259864807,2435948,,2435948
364.1215000152588,2435948,,2435948
366.12180280685425,2435948,,2435948
368.12211775779724,2435948,,2435948
370.1224274635315,2435948,,2435948
372.12274861335754,2435948,,2435948
374.12307381629944,2435948,,2435948
376.12341928482056,2435948,,2435948
378.1239082813263,1500156,,1500156
