t_s,mem_available_kb,mem_total_kb,matching_rss_kb,n_matching,detail
0.0,7632360,8216160,47688,4,"5392:6208kB;5748:16148kB;5749:14856kB;5750:10476kB"
5.0,6697816,8216160,974508,3,"5748:475580kB;5749:488252kB;5750:10676kB"
10.1,5870508,8216160,1777396,3,"5748:880428kB;5749:886292kB;5750:10676kB"
15.1,4921932,8216160,2748416,3,"5748:1385868kB;5749:1351872kB;5750:10676kB"
20.1,4252740,8216160,3393160,3,"5748:1657044kB;5749:1725440kB;5750:10676kB"
25.1,4251988,8216160,3393160,3,"5748:1657044kB;5749:1725440kB;5750:10676kB"
30.1,4251988,8216160,3393160,3,"5748:1657044kB;5749:1725440kB;5750:10676kB"
35.1,4257008,8216160,3393164,3,"5748:1657044kB;5749:1725440kB;5750:10680kB"
40.1,4258320,8216160,3393164,3,"5748:1657044kB;5749:1725440kB;5750:10680kB"
45.2,4258320,8216160,3393168,3,"5748:1657044kB;5749:1725440kB;5750:10684kB"
50.2,4258352,8216160,3393168,3,"5748:1657044kB;5749:1725440kB;5750:10684kB"
55.2,4258352,8216160,3393168,3,"5748:1657044kB;5749:1725440kB;5750:10684kB"
60.2,4258352,8216160,3393168,3,"5748:1657044kB;5749:1725440kB;5750:10684kB"
65.2,4258352,8216160,3393168,3,"5748:1657044kB;5749:1725440kB;5750:10684kB"
70.2,4258352,8216160,3393168,3,"5748:1657044kB;5749:1725440kB;5750:10684kB"
75.2,4258352,8216160,3393168,3,"5748:1657044kB;5749:1725440kB;5750:10684kB"
80.3,4258352,8216160,3393168,3,"5748:1657044kB;5749:1725440kB;5750:10684kB"
85.3,4258352,8216160,3393168,3,"5748:1657044kB;5749:1725440kB;5750:10684kB"
90.3,4258352,8216160,3393168,3,"5748:1657044kB;5749:1725440kB;5750:10684kB"
95.3,4258352,8216160,3393168,3,"5748:1657044kB;5749:1725440kB;5750:10684kB"
100.3,4258352,8216160,3393168,3,"5748:1657044kB;5749:1725440kB;5750:10684kB"
105.3,4258352,8216160,3393168,3,"5748:1657044kB;5749:1725440kB;5750:10684kB"
110.3,4258352,8216160,3393168,3,"5748:1657044kB;5749:1725440kB;5750:10684kB"
115.3,4258352,8216160,3393172,3,"5748:1657044kB;5749:1725444kB;5750:10684kB"
120.3,4258352,8216160,3393172,3,"5748:1657044kB;5749:1725444kB;5750:10684kB"
125.4,4258352,8216160,3393176,3,"5748:1657044kB;5749:1725448kB;5750:10684kB"
130.4,4260564,8216160,3393180,3,"5748:1657044kB;5749:1725452kB;5750:10684kB"
135.4,4259824,8216160,3393188,3,"5748:1657044kB;5749:1725460kB;5750:10684kB"
140.4,4259824,8216160,3393220,3,"5748:1657044kB;5749:1725492kB;5750:10684kB"
145.4,5489132,8216160,2166440,3,"5748:1657044kB;5749:498712kB;5750:10684kB"
150.4,4971060,8216160,2688824,3,"5748:1657044kB;5749:1021096kB;5750:10684kB"
155.4,4173012,8216160,3485260,3,"5748:1657044kB;5749:1817532kB;5750:10684kB"
160.4,4157956,8216160,3508520,3,"5748:1657044kB;5749:1840788kB;5750:10688kB"
165.5,4157956,8216160,3508520,3,"5748:1657044kB;5749:1840788kB;5750:10688kB"
170.5,4157956,8216160,3508520,3,"5748:1657044kB;5749:1840788kB;5750:10688kB"
175.5,4157956,8216160,3508520,3,"5748:1657044kB;5749:1840788kB;5750:10688kB"
180.5,4157956,8216160,3508520,3,"5748:1657044kB;5749:1840788kB;5750:10688kB"
185.5,4157956,8216160,3508520,3,"5748:1657044kB;5749:1840788kB;5750:10688kB"
190.5,4157956,8216160,3508520,3,"5748:1657044kB;5749:1840788kB;5750:10688kB"
195.5,4157956,8216160,3508520,3,"5748:1657044kB;5749:1840788kB;5750:10688kB"
200.5,4157956,8216160,3508520,3,"5748:1657044kB;5749:1840788kB;5750:10688kB"
205.5,4157956,8216160,3508524,3,"5748:1657044kB;5749:1840788kB;5750:10692kB"
210.6,4157956,8216160,3508524,3,"5748:1657044kB;5749:1840788kB;5750:10692kB"
215.6,4157956,8216160,3508524,3,"5748:1657044kB;5749:1840788kB;5750:10692kB"
220.6,4157956,8216160,3508536,3,"5748:1657056kB;5749:1840788kB;5750:10692kB"
225.6,4157956,8216160,3508540,3,"5748:1657056kB;5749:1840788kB;5750:10696kB"
230.6,4157956,8216160,3508540,3,"5748:1657056kB;5749:1840788kB;5750:10696kB"
235.6,4159460,8216160,3508544,3,"5748:1657060kB;5749:1840788kB;5750:10696kB"
240.6,4158452,8216160,3508544,3,"5748:1657060kB;5749:1840788kB;5750:10696kB"
245.6,4158452,8216160,3508544,3,"5748:1657060kB;5749:1840788kB;5750:10696kB"
250.7,4158452,8216160,3508544,3,"5748:1657060kB;5749:1840788kB;5750:10696kB"
255.7,4158200,8216160,3508544,3,"5748:1657060kB;5749:1840788kB;5750:10696kB"
260.7,4158200,8216160,3508544,3,"5748:1657060kB;5749:1840788kB;5750:10696kB"
265.7,4158204,8216160,3508544,3,"5748:1657060kB;5749:1840788kB;5750:10696kB"
270.7,4158204,8216160,3508544,3,"5748:1657060kB;5749:1840788kB;5750:10696kB"
275.7,4158204,8216160,3508544,3,"5748:1657060kB;5749:1840788kB;5750:10696kB"
280.7,4158204,8216160,3508544,3,"5748:1657060kB;5749:1840788kB;5750:10696kB"
285.7,4158204,8216160,3508544,3,"5748:1657060kB;5749:1840788kB;5750:10696kB"
290.8,4158204,8216160,3508548,3,"5748:1657060kB;5749:1840788kB;5750:10700kB"
295.8,7319148,8216160,361472,3,"5748:47412kB;5749:303360kB;5750:10700kB"
300.8,5823808,8216160,1869168,3,"5748:883744kB;5749:974724kB;5750:10700kB"
305.8,4783420,8216160,2883620,3,"5748:1092292kB;5749:1780628kB;5750:10700kB"
310.8,4034052,8216160,3535400,3,"5748:1605576kB;5749:1919124kB;5750:10700kB"
315.9,4007088,8216160,3656792,3,"5748:1726968kB;5749:1919124kB;5750:10700kB"
320.9,4007088,8216160,3656792,3,"5748:1726968kB;5749:1919124kB;5750:10700kB"
325.9,4007088,8216160,3656792,3,"5748:1726968kB;5749:1919124kB;5750:10700kB"
331.0,4007088,8216160,3656792,3,"5748:1726968kB;5749:1919124kB;5750:10700kB"
336.0,4006836,8216160,3656792,3,"5748:1726968kB;5749:1919124kB;5750:10700kB"
341.0,4006080,8216160,3656792,3,"5748:1726968kB;5749:1919124kB;5750:10700kB"
346.0,4006484,8216160,3656792,3,"5748:1726968kB;5749:1919124kB;5750:10700kB"
351.0,4006168,8216160,3656792,3,"5748:1726968kB;5749:1919124kB;5750:10700kB"
356.0,4006168,8216160,3656792,3,"5748:1726968kB;5749:1919124kB;5750:10700kB"
361.0,4006168,8216160,3656792,3,"5748:1726968kB;5749:1919124kB;5750:10700kB"
366.1,4006168,8216160,3656796,3,"5748:1726968kB;5749:1919124kB;5750:10704kB"
371.1,4006168,8216160,3656796,3,"5748:1726968kB;5749:1919124kB;5750:10704kB"
376.1,4006168,8216160,3656796,3,"5748:1726968kB;5749:1919124kB;5750:10704kB"
381.1,4006168,8216160,3656796,3,"5748:1726968kB;5749:1919124kB;5750:10704kB"
386.1,4006168,8216160,3656796,3,"5748:1726968kB;5749:1919124kB;5750:10704kB"
391.2,4006168,8216160,3656796,3,"5748:1726968kB;5749:1919124kB;5750:10704kB"
396.2,4006168,8216160,3656796,3,"5748:1726968kB;5749:1919124kB;5750:10704kB"
401.2,4006168,8216160,3656796,3,"5748:1726968kB;5749:1919124kB;5750:10704kB"
406.2,4006168,8216160,3656796,3,"5748:1726968kB;5749:1919124kB;5750:10704kB"
411.2,4006632,8216160,3656796,3,"5748:1726968kB;5749:1919124kB;5750:10704kB"
416.2,4006684,8216160,3656796,3,"5748:1726968kB;5749:1919124kB;5750:10704kB"
421.2,4004944,8216160,3656796,3,"5748:1726968kB;5749:1919124kB;5750:10704kB"
426.2,4004920,8216160,3656796,3,"5748:1726968kB;5749:1919124kB;5750:10704kB"
431.3,4004920,8216160,3656796,3,"5748:1726968kB;5749:1919124kB;5750:10704kB"
436.3,4004920,8216160,3656796,3,"5748:1726968kB;5749:1919124kB;5750:10704kB"
441.3,4004920,8216160,3656800,3,"5748:1726968kB;5749:1919124kB;5750:10708kB"
446.3,4006360,8216160,3656800,3,"5748:1726968kB;5749:1919124kB;5750:10708kB"
451.3,4006360,8216160,3656800,3,"5748:1726968kB;5749:1919124kB;5750:10708kB"
456.3,4008048,8216160,3656800,3,"5748:1726968kB;5749:1919124kB;5750:10708kB"
461.3,4319680,8216160,3341840,3,"5748:1726968kB;5749:1604164kB;5750:10708kB"
466.3,5359764,8216160,2315736,3,"5748:1726968kB;5749:578060kB;5750:10708kB"
471.4,4847888,8216160,2823036,3,"5748:1726968kB;5749:1085360kB;5750:10708kB"
476.4,4436388,8216160,3236620,3,"5748:1726968kB;5749:1498944kB;5750:10708kB"
481.4,4004168,8216160,3662396,3,"5748:1726968kB;5749:1924720kB;5750:10708kB"
486.4,3934092,8216160,3741728,3,"5748:1726968kB;5749:2004052kB;5750:10708kB"
491.4,3934092,8216160,3741728,3,"5748:1726968kB;5749:2004052kB;5750:10708kB"
496.4,3933588,8216160,3741728,3,"5748:1726968kB;5749:2004052kB;5750:10708kB"
501.4,3933336,8216160,3741728,3,"5748:1726968kB;5749:2004052kB;5750:10708kB"
506.4,3925524,8216160,3741728,3,"5748:1726968kB;5749:2004052kB;5750:10708kB"
511.5,3925524,8216160,3741728,3,"5748:1726968kB;5749:2004052kB;5750:10708kB"
516.5,3925524,8216160,3741728,3,"5748:1726968kB;5749:2004052kB;5750:10708kB"
521.5,3925524,8216160,3741728,3,"5748:1726968kB;5749:2004052kB;5750:10708kB"
526.5,3925524,8216160,3741728,3,"5748:1726968kB;5749:2004052kB;5750:10708kB"
531.5,3925528,8216160,3741728,3,"5748:1726968kB;5749:2004052kB;5750:10708kB"
536.5,3925528,8216160,3741728,3,"5748:1726968kB;5749:2004052kB;5750:10708kB"
541.5,3924520,8216160,3741728,3,"5748:1726968kB;5749:2004052kB;5750:10708kB"
