t_s,mem_available_kb,mem_total_kb,matching_rss_kb,n_matching,detail
0.0,7626200,8216168,38940,4,"12573:6200kB;12929:10476kB;12930:11088kB;12931:11176kB"
5.0,6727956,8216168,841648,3,"12929:10648kB;12930:376508kB;12931:454492kB"
10.1,6323764,8216168,1219672,3,"12929:10648kB;12930:376508kB;12931:832516kB"
15.1,6251692,8216168,1387664,3,"12929:10648kB;12930:376508kB;12931:1000508kB"
20.1,6251692,8216168,1387664,3,"12929:10648kB;12930:376508kB;12931:1000508kB"
25.1,6251692,8216168,1387664,3,"12929:10648kB;12930:376508kB;12931:1000508kB"
30.1,6251692,8216168,1387664,3,"12929:10648kB;12930:376508kB;12931:1000508kB"
35.1,6251692,8216168,1387668,3,"12929:10652kB;12930:376508kB;12931:1000508kB"
40.1,6251692,8216168,1387668,3,"12929:10652kB;12930:376508kB;12931:1000508kB"
45.2,6251692,8216168,1387672,3,"12929:10656kB;12930:376508kB;12931:1000508kB"
50.2,6254572,8216168,1387672,3,"12929:10656kB;12930:376508kB;12931:1000508kB"
55.2,6254572,8216168,1387672,3,"12929:10656kB;12930:376508kB;12931:1000508kB"
60.2,6254572,8216168,1387672,3,"12929:10656kB;12930:376508kB;12931:1000508kB"
65.2,6254572,8216168,1387672,3,"12929:10656kB;12930:376508kB;12931:1000508kB"
70.2,6254572,8216168,1387672,3,"12929:10656kB;12930:376508kB;12931:1000508kB"
75.2,6254572,8216168,1387672,3,"12929:10656kB;12930:376508kB;12931:1000508kB"
80.3,6254572,8216168,1387676,3,"12929:10660kB;12930:376508kB;12931:1000508kB"
85.3,6254572,8216168,1387676,3,"12929:10660kB;12930:376508kB;12931:1000508kB"
90.3,6254572,8216168,1387676,3,"12929:10660kB;12930:376508kB;12931:1000508kB"
95.3,6254572,8216168,1387676,3,"12929:10660kB;12930:376508kB;12931:1000508kB"
100.3,6255980,8216168,1387676,3,"12929:10660kB;12930:376508kB;12931:1000508kB"
105.3,6255980,8216168,1387676,3,"12929:10660kB;12930:376508kB;12931:1000508kB"
110.4,6259892,8216168,1387676,3,"12929:10660kB;12930:376508kB;12931:1000508kB"
115.4,6259948,8216168,1387676,3,"12929:10660kB;12930:376508kB;12931:1000508kB"
120.4,6260412,8216168,1387676,3,"12929:10660kB;12930:376508kB;12931:1000508kB"
125.4,6262760,8216168,1387676,3,"12929:10660kB;12930:376508kB;12931:1000508kB"
130.4,6262760,8216168,1387676,3,"12929:10660kB;12930:376508kB;12931:1000508kB"
135.5,6265152,8216168,1387676,3,"12929:10660kB;12930:376508kB;12931:1000508kB"
140.5,6264396,8216168,1387676,3,"12929:10660kB;12930:376508kB;12931:1000508kB"
145.5,6264396,8216168,1387676,3,"12929:10660kB;12930:376508kB;12931:1000508kB"
150.5,6264396,8216168,1387676,3,"12929:10660kB;12930:376508kB;12931:1000508kB"
155.5,6266172,8216168,1387676,3,"12929:10660kB;12930:376508kB;12931:1000508kB"
160.5,6264912,8216168,1387680,3,"12929:10664kB;12930:376508kB;12931:1000508kB"
165.5,6265764,8216168,1387680,3,"12929:10664kB;12930:376508kB;12931:1000508kB"
170.6,6265260,8216168,1387680,3,"12929:10664kB;12930:376508kB;12931:1000508kB"
175.6,6265260,8216168,1387680,3,"12929:10664kB;12930:376508kB;12931:1000508kB"
180.6,6265260,8216168,1387680,3,"12929:10664kB;12930:376508kB;12931:1000508kB"
185.6,6265260,8216168,1387680,3,"12929:10664kB;12930:376508kB;12931:1000508kB"
190.6,6265260,8216168,1387680,3,"12929:10664kB;12930:376508kB;12931:1000508kB"
195.6,6265260,8216168,1387680,3,"12929:10664kB;12930:376508kB;12931:1000508kB"
200.7,6264504,8216168,1387680,3,"12929:10664kB;12930:376508kB;12931:1000508kB"
205.7,6264504,8216168,1387684,3,"12929:10668kB;12930:376508kB;12931:1000508kB"
210.7,6264504,8216168,1387684,3,"12929:10668kB;12930:376508kB;12931:1000508kB"
215.8,6264504,8216168,1387684,3,"12929:10668kB;12930:376508kB;12931:1000508kB"
220.8,6264504,8216168,1387684,3,"12929:10668kB;12930:376508kB;12931:1000508kB"
225.8,6264876,8216168,1387688,3,"12929:10672kB;12930:376508kB;12931:1000508kB"
230.8,6264876,8216168,1387688,3,"12929:10672kB;12930:376508kB;12931:1000508kB"
235.8,6263616,8216168,1387688,3,"12929:10672kB;12930:376508kB;12931:1000508kB"
240.8,6263616,8216168,1387688,3,"12929:10672kB;12930:376508kB;12931:1000508kB"
245.9,6263616,8216168,1387688,3,"12929:10672kB;12930:376508kB;12931:1000508kB"
250.9,6263872,8216168,1387688,3,"12929:10672kB;12930:376508kB;12931:1000508kB"
255.9,6263872,8216168,1387688,3,"12929:10672kB;12930:376508kB;12931:1000508kB"
260.9,6263872,8216168,1387688,3,"12929:10672kB;12930:376508kB;12931:1000508kB"
265.9,6263876,8216168,1387688,3,"12929:10672kB;12930:376508kB;12931:1000508kB"
270.9,6263624,8216168,1387688,3,"12929:10672kB;12930:376508kB;12931:1000508kB"
276.0,6263624,8216168,1387688,3,"12929:10672kB;12930:376508kB;12931:1000508kB"
281.0,6263624,8216168,1387688,3,"12929:10672kB;12930:376508kB;12931:1000508kB"
286.0,6263876,8216168,1387688,3,"12929:10672kB;12930:376508kB;12931:1000508kB"
291.0,6264632,8216168,1387692,3,"12929:10676kB;12930:376508kB;12931:1000508kB"
296.0,6264632,8216168,1387692,3,"12929:10676kB;12930:376508kB;12931:1000508kB"
301.0,6264380,8216168,1387692,3,"12929:10676kB;12930:376508kB;12931:1000508kB"
306.0,6264380,8216168,1387692,3,"12929:10676kB;12930:376508kB;12931:1000508kB"
311.1,6263740,8216168,1387692,3,"12929:10676kB;12930:376508kB;12931:1000508kB"
316.1,6263992,8216168,1387692,3,"12929:10676kB;12930:376508kB;12931:1000508kB"
321.1,6264520,8216168,1387692,3,"12929:10676kB;12930:376508kB;12931:1000508kB"
326.1,6263512,8216168,1387692,3,"12929:10676kB;12930:376508kB;12931:1000508kB"
331.1,6263344,8216168,1387692,3,"12929:10676kB;12930:376508kB;12931:1000508kB"
336.2,6263264,8216168,1387692,3,"12929:10676kB;12930:376508kB;12931:1000508kB"
341.2,6263628,8216168,1387692,3,"12929:10676kB;12930:376508kB;12931:1000508kB"
346.2,6262872,8216168,1387696,3,"12929:10676kB;12930:376508kB;12931:1000512kB"
351.2,6263296,8216168,1387696,3,"12929:10676kB;12930:376508kB;12931:1000512kB"
356.2,6263296,8216168,1387700,3,"12929:10676kB;12930:376508kB;12931:1000516kB"
361.2,6265728,8216168,1387704,3,"12929:10676kB;12930:376508kB;12931:1000520kB"
366.3,6266064,8216168,1387712,3,"12929:10680kB;12930:376508kB;12931:1000524kB"
371.3,6265308,8216168,1387716,3,"12929:10680kB;12930:376508kB;12931:1000528kB"
376.3,6265384,8216168,1387716,3,"12929:10680kB;12930:376508kB;12931:1000528kB"
381.3,6265384,8216168,1387716,3,"12929:10680kB;12930:376508kB;12931:1000528kB"
386.3,6263296,8216168,1387716,3,"12929:10680kB;12930:376508kB;12931:1000528kB"
391.3,6263296,8216168,1387716,3,"12929:10680kB;12930:376508kB;12931:1000528kB"
396.3,6263296,8216168,1387716,3,"12929:10680kB;12930:376508kB;12931:1000528kB"
401.4,6263296,8216168,1387720,3,"12929:10680kB;12930:376508kB;12931:1000532kB"
406.4,6264384,8216168,1387724,3,"12929:10680kB;12930:376508kB;12931:1000536kB"
411.4,6264636,8216168,1387728,3,"12929:10680kB;12930:376508kB;12931:1000540kB"
416.4,6264012,8216168,1387732,3,"12929:10680kB;12930:376508kB;12931:1000544kB"
421.4,6264012,8216168,1387732,3,"12929:10680kB;12930:376508kB;12931:1000544kB"
426.4,6264012,8216168,1387732,3,"12929:10680kB;12930:376508kB;12931:1000544kB"
431.5,6264012,8216168,1387732,3,"12929:10680kB;12930:376508kB;12931:1000544kB"
436.5,6264012,8216168,1387732,3,"12929:10680kB;12930:376508kB;12931:1000544kB"
441.5,6264012,8216168,1387740,3,"12929:10684kB;12930:376508kB;12931:1000548kB"
446.5,6264940,8216168,1387740,3,"12929:10684kB;12930:376508kB;12931:1000548kB"
451.5,6264044,8216168,1387744,3,"12929:10684kB;12930:376508kB;12931:1000552kB"
456.5,6264044,8216168,1387748,3,"12929:10684kB;12930:376508kB;12931:1000556kB"
461.6,6264200,8216168,1387752,3,"12929:10684kB;12930:376508kB;12931:1000560kB"
466.6,6263948,8216168,1387816,3,"12929:10684kB;12930:376508kB;12931:1000624kB"
471.6,6263012,8216168,1387816,3,"12929:10684kB;12930:376508kB;12931:1000624kB"
476.6,6263012,8216168,1387816,3,"12929:10684kB;12930:376508kB;12931:1000624kB"
