t,combined_kb,18_45,13_60
396.1930868625641,3760312,3760312,
398.19358086586,3760312,3760312,
400.1939845085144,3760312,3760312,
402.19437050819397,3760312,3760312,
404.19481587409973,3760312,3760312,
406.1952850818634,3760312,3760312,
408.19589734077454,3751448,3751448,
410.196409702301,3357336,3357336,
412.19679737091064,2971736,2971736,
414.1972110271454,2599784,2599784,
416.19761204719543,2218760,2218760,
418.1979911327362,1867976,1867976,
420.1984212398529,1511144,1511144,
