t_s,mem_available_kb,mem_total_kb,matching_rss_kb,n_matching,detail
0.0,7647572,8216160,37468,4,"3593:6204kB;3952:10088kB;3953:10700kB;3954:10476kB"
5.0,6735296,8216160,924020,3,"3952:460524kB;3953:452820kB;3954:10676kB"
10.0,5929768,8216160,1737008,3,"3952:819832kB;3953:906500kB;3954:10676kB"
15.1,5198252,8216160,2470856,3,"3952:1090000kB;3953:1370180kB;3954:10676kB"
20.1,4196636,8216160,3254036,3,"3952:1520464kB;3953:1722896kB;3954:10676kB"
25.1,3861924,8216160,3801960,3,"3952:1830640kB;3953:1960644kB;3954:10676kB"
30.1,3849380,8216160,3813968,3,"3952:1842648kB;3953:1960644kB;3954:10676kB"
35.1,3843836,8216160,3813972,3,"3952:1842648kB;3953:1960644kB;3954:10680kB"
40.2,3841064,8216160,3813972,3,"3952:1842648kB;3953:1960644kB;3954:10680kB"
45.2,3839520,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
50.2,3840652,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
55.2,3839280,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
60.2,3839280,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
65.2,3839280,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
70.2,3839284,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
75.2,3839284,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
80.2,3839284,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
85.3,3839284,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
90.3,3839284,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
95.3,3839284,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
100.3,3839284,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
105.3,3839284,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
110.3,3839284,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
115.3,3839284,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
120.3,3839284,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
125.4,3839284,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
130.4,3839284,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
135.4,3839284,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
140.4,3839284,8216160,3813976,3,"3952:1842648kB;3953:1960644kB;3954:10684kB"
145.4,3839284,8216160,3813980,3,"3952:1842648kB;3953:1960648kB;3954:10684kB"
150.4,3839284,8216160,3813980,3,"3952:1842648kB;3953:1960648kB;3954:10684kB"
155.4,3839284,8216160,3813980,3,"3952:1842648kB;3953:1960648kB;3954:10684kB"
160.4,3839284,8216160,3813984,3,"3952:1842648kB;3953:1960648kB;3954:10688kB"
165.4,3839284,8216160,3813988,3,"3952:1842648kB;3953:1960652kB;3954:10688kB"
170.5,3839284,8216160,3813988,3,"3952:1842648kB;3953:1960652kB;3954:10688kB"
