t,combined_kb,18_45,13_60
0.0005092620849609375,216,208,8
2.0042965412139893,520296,259864,260432
4.004580497741699,802836,383472,419364
6.004854440689087,1163088,582380,580708
8.005147218704224,1586128,718952,867176
10.005420684814453,1980080,1030244,949836
12.00572681427002,2189964,1114256,1075708
14.0060453414917,2417768,1238436,1179332
16.00633478164673,2741300,1358728,1382572
18.006628274917603,3183076,1468720,1714356
20.00694727897644,3470704,1804988,1665716
22.007232189178467,3720668,1849496,1871172
24.007538318634033,4097144,2084588,2012556
26.00790047645569,4322396,2201504,2120892
28.00817084312439,4554656,2324288,2230368
30.0123188495636,4785992,2445872,2340120
32.01265525817871,5104516,2576508,2528008
34.01304340362549,5636472,2697320,2939152
36.01336741447449,6134760,2814848,3319912
38.013712882995605,6634444,2930252,3704192
40.014052391052246,6713936,3591236,3122700
42.014323711395264,7159160,4036460,3122700
44.01460123062134,6776768,3654068,3122700
46.01493740081787,6884148,3761448,3122700
48.015230655670166,6884148,3761448,3122700
50.01551342010498,6884148,3761448,3122700
52.015806913375854,6884148,3761448,3122700
54.0162398815155,6884148,3761448,3122700
56.01652240753174,6884148,3761448,3122700
58.01679706573486,6884148,3761448,3122700
60.01709318161011,6884148,3761448,3122700
62.02029347419739,6884148,3761448,3122700
64.02059173583984,6884148,3761448,3122700
66.02086329460144,6884148,3761448,3122700
68.02114200592041,6884148,3761448,3122700
70.0214033126831,6884148,3761448,3122700
72.0216703414917,6884148,3761448,3122700
74.02195262908936,6884148,3761448,3122700
76.0222225189209,6884148,3761448,3122700
78.0225100517273,6884148,3761448,3122700
80.02282285690308,6884148,3761448,3122700
82.02313923835754,6884148,3761448,3122700
84.0234203338623,6884148,3761448,3122700
86.02369904518127,6884148,3761448,3122700
88.02397108078003,6884148,3761448,3122700
90.02425861358643,6884148,3761448,3122700
92.02828550338745,6884148,3761448,3122700
94.03088760375977,6884148,3761448,3122700
96.03117489814758,6884148,3761448,3122700
98.03144550323486,6884148,3761448,3122700
100.03173899650574,6884148,3761448,3122700
102.03204274177551,6884148,3761448,3122700
104.03228616714478,6884148,3761448,3122700
106.03255105018616,6884148,3761448,3122700
108.0328483581543,6884148,3761448,3122700
110.03313875198364,6884148,3761448,3122700
112.03340697288513,6884148,3761448,3122700
114.0336742401123,6884148,3761448,3122700
116.03394651412964,6884148,3761448,3122700
118.03504347801208,6884148,3761448,3122700
120.03562998771667,6884148,3761448,3122700
122.03593230247498,6884148,3761448,3122700
124.03621435165405,6884148,3761448,3122700
126.03651666641235,6884148,3761448,3122700
128.0422956943512,6884148,3761448,3122700
130.0426161289215,6884148,3761448,3122700
132.04287481307983,6884148,3761448,3122700
134.04314875602722,6884148,3761448,3122700
136.04341006278992,6884148,3761448,3122700
138.0436873435974,6884148,3761448,3122700
140.04400444030762,6884148,3761448,3122700
142.0442931652069,6884148,3761448,3122700
144.04455995559692,6884148,3761448,3122700
146.04483580589294,6884148,3761448,3122700
148.04513812065125,6884148,3761448,3122700
150.04540729522705,6884148,3761448,3122700
152.0456748008728,6884148,3761448,3122700
154.04597520828247,6884148,3761448,3122700
156.0462465286255,6884148,3761448,3122700
158.04653215408325,6884148,3761448,3122700
160.04682612419128,6884148,3761448,3122700
162.04711866378784,6884148,3761448,3122700
164.04744815826416,6803252,3761448,3041804
166.04797840118408,3761448,3761448,
168.04899525642395,3761448,3761448,
170.0493359565735,3761448,3761448,
172.04966282844543,3761448,3761448,
174.0500204563141,3761448,3761448,
176.05032658576965,3761448,3761448,
178.05066084861755,3761448,3761448,
180.05098390579224,3761448,3761448,
182.05138278007507,3761448,3761448,
184.05179166793823,3761448,3761448,
186.05216336250305,3761448,3761448,
188.05252623558044,3761448,3761448,
190.05283570289612,3761448,3761448,
192.05316591262817,3761448,3761448,
194.05351424217224,3761448,3761448,
196.0538294315338,3761448,3761448,
198.05418705940247,3761448,3761448,
200.05458569526672,3761448,3761448,
202.05499935150146,3761448,3761448,
204.05533838272095,3761448,3761448,
206.0556890964508,3761448,3761448,
208.05603575706482,3761448,3761448,
210.05638456344604,3761448,3761448,
212.0566954612732,3761448,3761448,
214.057049036026,3761448,3761448,
216.0573525428772,3761448,3761448,
218.05765771865845,3761448,3761448,
220.05802035331726,3761448,3761448,
222.0583357810974,3761448,3761448,
224.05864906311035,3761448,3761448,
226.05899739265442,3761448,3761448,
228.0593283176422,3761448,3761448,
230.05964946746826,3761448,3761448,
232.0599763393402,3761448,3761448,
234.0603334903717,3761448,3761448,
236.06072402000427,3761448,3761448,
238.06116604804993,3761448,3761448,
240.06155586242676,3761448,3761448,
242.0619399547577,3761448,3761448,
244.06229829788208,3761448,3761448,
246.06261348724365,3761448,3761448,
248.0629301071167,3761448,3761448,
250.06323981285095,3761448,3761448,
252.06356954574585,3761448,3761448,
254.06390261650085,3761448,3761448,
256.06431102752686,3761448,3761448,
258.0646011829376,3761448,3761448,
260.0649516582489,3761448,3761448,
262.0652689933777,3761448,3761448,
264.0656473636627,3761448,3761448,
266.0660443305969,3761448,3761448,
268.06647515296936,3761448,3761448,
270.0668041706085,3761448,3761448,
272.0671372413635,3761448,3761448,
274.06747555732727,3761448,3761448,
276.06775856018066,3761448,3761448,
278.0680658817291,3761448,3761448,
280.068457365036,3761448,3761448,
282.06877040863037,3761448,3761448,
284.06908798217773,3761448,3761448,
286.0695991516113,3761448,3761448,
288.06994247436523,3761448,3761448,
290.0702648162842,3761448,3761448,
292.0705542564392,3761448,3761448,
294.07085394859314,3761448,3761448,
296.07115840911865,3761448,3761448,
298.07155680656433,3761448,3761448,
300.07187604904175,3761448,3761448,
302.0722873210907,3761448,3761448,
304.07263803482056,3761448,3761448,
306.07303190231323,3761448,3761448,
308.0734210014343,3761448,3761448,
310.0737898349762,3761448,3761448,
312.07418298721313,3761448,3761448,
314.074636220932,3761448,3761448,
316.075070142746,3761448,3761448,
318.0753753185272,3761448,3761448,
320.07578206062317,3761448,3761448,
322.07613611221313,3761448,3761448,
324.07646679878235,3761448,3761448,
326.076771736145,3159416,3159416,
