t_s,mem_available_kb,mem_total_kb,matching_rss_kb,n_matching,detail
0.0,7647332,8216340,45124,4,"7593:6244kB;7950:13944kB;7951:14480kB;7952:10456kB"
5.1,7148336,8216340,496564,3,"7950:187896kB;7951:298012kB;7952:10656kB"
10.1,6843240,8216340,801404,3,"7950:187896kB;7951:602852kB;7952:10656kB"
15.2,6537052,8216340,1138068,3,"7950:187896kB;7951:939516kB;7952:10656kB"
20.2,6428904,8216340,1243980,3,"7950:264920kB;7951:968404kB;7952:10656kB"
25.2,7081028,8216340,563200,3,"7950:233752kB;7951:318792kB;7952:10656kB"
30.2,6581376,8216340,1059284,3,"7950:233752kB;7951:814876kB;7952:10656kB"
35.2,6367692,8216340,1284956,3,"7950:233752kB;7951:1040544kB;7952:10660kB"
40.3,6334724,8216340,1308208,3,"7950:239084kB;7951:1058464kB;7952:10660kB"
45.3,7112204,8216340,541060,3,"7950:239084kB;7951:291312kB;7952:10664kB"
50.3,6777064,8216340,880472,3,"7950:239084kB;7951:630724kB;7952:10664kB"
55.4,6621824,8216340,1064168,3,"7950:74948kB;7951:978556kB;7952:10664kB"
60.4,6289792,8216340,1365832,3,"7950:244472kB;7951:1110696kB;7952:10664kB"
65.4,6289792,8216340,1365832,3,"7950:244472kB;7951:1110696kB;7952:10664kB"
70.4,6770880,8216340,682424,3,"7950:244472kB;7951:427288kB;7952:10664kB"
75.5,6582384,8216340,1079600,3,"7950:244472kB;7951:824464kB;7952:10664kB"
80.5,6342712,8216340,1309044,3,"7950:250052kB;7951:1048328kB;7952:10664kB"
85.5,5941036,8216340,1712512,3,"7950:250052kB;7951:1451796kB;7952:10664kB"
90.5,5651100,8216340,1754468,3,"7950:250052kB;7951:1493752kB;7952:10664kB"
95.5,5698836,8216340,1754468,3,"7950:250052kB;7951:1493752kB;7952:10664kB"
100.6,7040416,8216340,631656,3,"7950:254300kB;7951:366692kB;7952:10664kB"
105.6,6708212,8216340,969064,3,"7950:255840kB;7951:702560kB;7952:10664kB"
110.6,6403612,8216340,1258176,3,"7950:255840kB;7951:991672kB;7952:10664kB"
115.6,6146000,8216340,1519308,3,"7950:255840kB;7951:1252804kB;7952:10664kB"
120.7,5663696,8216340,1779676,3,"7950:255840kB;7951:1513172kB;7952:10664kB"
125.7,5766460,8216340,1739400,3,"7950:176276kB;7951:1552460kB;7952:10664kB"
130.7,5710104,8216340,1824964,3,"7950:261840kB;7951:1552460kB;7952:10664kB"
135.7,6891740,8216340,706748,3,"7950:261840kB;7951:434244kB;7952:10664kB"
140.7,6552300,8216340,1125996,3,"7950:261840kB;7951:853492kB;7952:10664kB"
145.8,6339400,8216340,1327800,3,"7950:261840kB;7951:1055296kB;7952:10664kB"
150.8,5958636,8216340,1707344,3,"7950:261840kB;7951:1434840kB;7952:10664kB"
155.8,5608020,8216340,1878812,3,"7950:253520kB;7951:1614628kB;7952:10664kB"
160.8,5632648,8216340,1893364,3,"7950:268068kB;7951:1614628kB;7952:10668kB"
165.8,5672756,8216340,1893364,3,"7950:268068kB;7951:1614628kB;7952:10668kB"
170.9,6870624,8216340,755004,3,"7950:268068kB;7951:476268kB;7952:10668kB"
175.9,6576768,8216340,1080868,3,"7950:268068kB;7951:802132kB;7952:10668kB"
180.9,6361392,8216340,1309192,3,"7950:268068kB;7951:1030456kB;7952:10668kB"
186.0,5862312,8216340,1824140,3,"7950:169116kB;7951:1644356kB;7952:10668kB"
191.0,5609056,8216340,1966584,3,"7950:275520kB;7951:1680396kB;7952:10668kB"
