t_s,mem_available_kb,mem_total_kb,matching_rss_kb,n_matching,detail
0.0,7645164,8216160,43112,4,"5387:6148kB;5745:10456kB;5746:13856kB;5747:12652kB"
5.0,7082044,8216160,595544,3,"5745:10656kB;5746:342740kB;5747:242148kB"
10.1,6897136,8216160,778816,3,"5745:10656kB;5746:526012kB;5747:242148kB"
15.1,6509832,8216160,1021936,3,"5745:10656kB;5746:769132kB;5747:242148kB"
20.1,6321760,8216160,1220036,3,"5745:10656kB;5746:967232kB;5747:242148kB"
25.1,6378184,8216160,1220716,3,"5745:10656kB;5746:967912kB;5747:242148kB"
30.2,6423184,8216160,1220716,3,"5745:10656kB;5746:967912kB;5747:242148kB"
35.2,6439004,8216160,1220720,3,"5745:10660kB;5746:967912kB;5747:242148kB"
40.2,6438752,8216160,1220720,3,"5745:10660kB;5746:967912kB;5747:242148kB"
45.2,6438752,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
50.2,6438752,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
55.2,6438752,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
60.3,6438752,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
65.3,6438752,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
70.3,6438752,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
75.3,6438752,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
80.3,6439860,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
85.3,6439860,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
90.3,6441508,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
95.4,6441740,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
100.4,6445808,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
105.4,6446312,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
110.4,6449172,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
115.4,6449172,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
120.4,6448164,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
125.5,6448164,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
130.5,6448164,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
135.5,6448164,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
140.5,6448164,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
145.5,6448608,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
150.6,6447852,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
155.6,6447852,8216160,1220724,3,"5745:10664kB;5746:967912kB;5747:242148kB"
160.6,6447600,8216160,1220728,3,"5745:10668kB;5746:967912kB;5747:242148kB"
165.6,6447600,8216160,1220728,3,"5745:10668kB;5746:967912kB;5747:242148kB"
170.6,6447596,8216160,1220728,3,"5745:10668kB;5746:967912kB;5747:242148kB"
175.6,6448548,8216160,1220728,3,"5745:10668kB;5746:967912kB;5747:242148kB"
180.7,6448044,8216160,1220728,3,"5745:10668kB;5746:967912kB;5747:242148kB"
185.7,6448636,8216160,1220728,3,"5745:10668kB;5746:967912kB;5747:242148kB"
190.7,6447880,8216160,1220728,3,"5745:10668kB;5746:967912kB;5747:242148kB"
195.7,6448360,8216160,1220728,3,"5745:10668kB;5746:967912kB;5747:242148kB"
200.7,6448360,8216160,1220728,3,"5745:10668kB;5746:967912kB;5747:242148kB"
205.7,6448108,8216160,1220732,3,"5745:10672kB;5746:967912kB;5747:242148kB"
210.8,6448108,8216160,1220732,3,"5745:10672kB;5746:967912kB;5747:242148kB"
215.8,7118912,8216160,546380,3,"5745:10672kB;5746:293560kB;5747:242148kB"
220.8,6764628,8216160,899144,3,"5745:10672kB;5746:646324kB;5747:242148kB"
225.8,6501020,8216160,1161872,3,"5745:10672kB;5746:909052kB;5747:242148kB"
230.9,6380312,8216160,1282052,3,"5745:10676kB;5746:1029228kB;5747:242148kB"
235.9,6380564,8216160,1282052,3,"5745:10676kB;5746:1029228kB;5747:242148kB"
240.9,6381256,8216160,1282052,3,"5745:10676kB;5746:1029228kB;5747:242148kB"
245.9,6381256,8216160,1282052,3,"5745:10676kB;5746:1029228kB;5747:242148kB"
250.9,6381256,8216160,1282052,3,"5745:10676kB;5746:1029228kB;5747:242148kB"
255.9,6381256,8216160,1282052,3,"5745:10676kB;5746:1029228kB;5747:242148kB"
261.0,6381256,8216160,1282052,3,"5745:10676kB;5746:1029228kB;5747:242148kB"
266.0,6381256,8216160,1282052,3,"5745:10676kB;5746:1029228kB;5747:242148kB"
271.0,6381256,8216160,1282052,3,"5745:10676kB;5746:1029228kB;5747:242148kB"
276.0,6381260,8216160,1282052,3,"5745:10676kB;5746:1029228kB;5747:242148kB"
281.0,6381260,8216160,1282052,3,"5745:10676kB;5746:1029228kB;5747:242148kB"
286.0,6381260,8216160,1282052,3,"5745:10676kB;5746:1029228kB;5747:242148kB"
291.1,6383324,8216160,1282056,3,"5745:10680kB;5746:1029228kB;5747:242148kB"
296.1,6383840,8216160,1282056,3,"5745:10680kB;5746:1029228kB;5747:242148kB"
