t,combined_kb,14_58,16_48
566.5808112621307,1962472,1962472,
568.5812542438507,1962472,1962472,
570.581728219986,1962472,1962472,
572.5821974277496,1962472,1962472,
574.5826015472412,1962472,1962472,
576.5829439163208,1962472,1962472,
578.5833659172058,1962472,1962472,
580.5837588310242,1962472,1962472,
582.5842218399048,1962472,1962472,
584.5847039222717,1962472,1962472,
586.5851645469666,1962472,1962472,
588.5856239795685,1962472,1962472,
590.5860719680786,1962472,1962472,
592.5865607261658,1962472,1962472,
594.5869669914246,1962472,1962472,
596.5873970985413,1962472,1962472,
598.587751865387,1962472,1962472,
600.5881590843201,1962472,1962472,
602.5885376930237,1962472,1962472,
604.5889401435852,1962472,1962472,
606.5893409252167,1962472,1962472,
608.5898852348328,1962472,1962472,
610.5904407501221,1962472,1962472,
612.5909297466278,1962472,1962472,
614.5913467407227,1962472,1962472,
616.5917711257935,1962472,1962472,
618.5922651290894,1962472,1962472,
620.5926687717438,1962472,1962472,
622.5930440425873,1962472,1962472,
624.5934453010559,1962472,1962472,
626.593950510025,1962472,1962472,
628.5943870544434,1962472,1962472,
630.5947678089142,1962472,1962472,
632.5951697826385,1962472,1962472,
634.5956127643585,1962472,1962472,
636.5960311889648,1962472,1962472,
638.5964739322662,1962472,1962472,
640.5968427658081,1962472,1962472,
642.5972681045532,1962472,1962472,
644.5976829528809,1962472,1962472,
646.5980470180511,1962472,1962472,
648.5984334945679,1962472,1962472,
650.5988276004791,1962472,1962472,
652.599282503128,1962472,1962472,
654.5996582508087,1962472,1962472,
656.6000230312347,1962472,1962472,
658.6004853248596,1962472,1962472,
660.6009106636047,1962472,1962472,
662.6012868881226,1962472,1962472,
664.6017355918884,1962472,1962472,
666.6021382808685,1962472,1962472,
668.6025953292847,1962472,1962472,
670.6029608249664,1962472,1962472,
672.6033570766449,1962472,1962472,
674.6041629314423,1962472,1962472,
676.6045181751251,1962472,1962472,
678.6066722869873,1962472,1962472,
680.6070826053619,1962472,1962472,
682.6076021194458,1962472,1962472,
684.6080284118652,1962472,1962472,
686.6084818840027,1962472,1962472,
688.6089506149292,1962472,1962472,
690.6095516681671,1962472,1962472,
692.6100447177887,1962472,1962472,
694.6129803657532,1962472,1962472,
696.6134858131409,1962472,1962472,
698.613963842392,1962472,1962472,
700.6144552230835,1962472,1962472,
702.6149797439575,1962472,1962472,
704.615475654602,1962472,1962472,
706.6158907413483,1087496,1087496,
