t_s,mem_available_kb,mem_total_kb,matching_rss_kb,n_matching,detail
306.1,5687104,8216168,1924220,3,"6459:10704kB;6462:423012kB;6463:1490504kB"
311.1,5687536,8216168,1924220,3,"6459:10704kB;6462:423012kB;6463:1490504kB"
316.1,5697408,8216168,1924224,3,"6459:10704kB;6462:423012kB;6463:1490508kB"
321.1,5698860,8216168,1924228,3,"6459:10704kB;6462:423012kB;6463:1490512kB"
326.1,5698860,8216168,1924228,3,"6459:10704kB;6462:423012kB;6463:1490512kB"
331.2,5698860,8216168,1924228,3,"6459:10704kB;6462:423012kB;6463:1490512kB"
336.2,5698860,8216168,1924228,3,"6459:10704kB;6462:423012kB;6463:1490512kB"
341.2,5700420,8216168,1924228,3,"6459:10704kB;6462:423012kB;6463:1490512kB"
346.2,5700424,8216168,1924232,3,"6459:10704kB;6462:423012kB;6463:1490516kB"
351.2,5700424,8216168,1924232,3,"6459:10704kB;6462:423012kB;6463:1490516kB"
356.2,5700424,8216168,1924240,3,"6459:10704kB;6462:423012kB;6463:1490524kB"
361.2,5700424,8216168,1924244,3,"6459:10704kB;6462:423012kB;6463:1490528kB"
366.2,5700424,8216168,1924248,3,"6459:10708kB;6462:423012kB;6463:1490528kB"
371.3,5700424,8216168,1924248,3,"6459:10708kB;6462:423012kB;6463:1490528kB"
376.3,5700424,8216168,1924248,3,"6459:10708kB;6462:423012kB;6463:1490528kB"
381.3,5700424,8216168,1924248,3,"6459:10708kB;6462:423012kB;6463:1490528kB"
386.3,5700424,8216168,1924248,3,"6459:10708kB;6462:423012kB;6463:1490528kB"
391.3,5700424,8216168,1924312,3,"6459:10708kB;6462:423012kB;6463:1490592kB"
396.3,5700424,8216168,1924312,3,"6459:10708kB;6462:423012kB;6463:1490592kB"
401.3,5700424,8216168,1924312,3,"6459:10708kB;6462:423012kB;6463:1490592kB"
406.3,5700424,8216168,1924312,3,"6459:10708kB;6462:423012kB;6463:1490592kB"
411.4,5700424,8216168,1924312,3,"6459:10708kB;6462:423012kB;6463:1490592kB"
416.4,5700424,8216168,1924312,3,"6459:10708kB;6462:423012kB;6463:1490592kB"
421.4,5700424,8216168,1924312,3,"6459:10708kB;6462:423012kB;6463:1490592kB"
426.4,5700424,8216168,1924312,3,"6459:10708kB;6462:423012kB;6463:1490592kB"
431.4,5700428,8216168,1924312,3,"6459:10708kB;6462:423012kB;6463:1490592kB"
436.4,5700428,8216168,1924312,3,"6459:10708kB;6462:423012kB;6463:1490592kB"
441.4,5700428,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
446.4,5700428,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
451.5,5700428,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
456.5,5700428,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
461.5,5700428,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
466.5,5700428,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
471.5,5701412,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
476.5,5700404,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
481.5,5700404,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
486.6,5700404,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
491.6,5701372,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
496.6,5701372,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
501.6,5700812,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
506.6,5700056,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
511.6,5700776,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
516.6,5699768,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
521.6,5700904,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
526.7,5700400,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
531.7,5699576,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
536.7,5699576,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
541.7,5700756,8216168,1924316,3,"6459:10712kB;6462:423012kB;6463:1490592kB"
546.7,5700000,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
551.7,5700848,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
556.8,5699336,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
561.8,5698888,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
566.8,5704592,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
571.8,5704284,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
576.8,5704284,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
581.8,5703528,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
586.8,5703976,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
591.9,5703232,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
596.9,5703392,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
601.9,5702636,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
606.9,5705020,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
611.9,5704516,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
616.9,5704556,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
621.9,5704304,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
626.9,5705944,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
632.0,5704684,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
637.0,5703928,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
642.0,5703928,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
647.0,5704800,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
652.0,5705032,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
657.0,5705184,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
662.0,5704680,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
667.0,5704736,8216168,1924320,3,"6459:10716kB;6462:423012kB;6463:1490592kB"
672.1,5704048,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
677.1,5703796,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
682.1,5703796,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
687.1,5703796,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
692.1,5703796,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
697.1,5703796,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
702.1,5704728,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
707.1,5704728,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
712.2,5704728,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
717.2,5704728,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
722.2,5704728,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
727.2,5704728,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
732.2,5704224,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
737.2,5704224,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
742.2,5703468,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
747.3,5703468,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
752.3,5703720,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
757.3,5703720,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
762.3,5703720,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
767.3,5703468,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
772.3,5703468,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
777.3,5703468,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
782.3,5703468,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
787.4,5703468,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
792.4,5703468,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
797.4,5700692,8216168,1924324,3,"6459:10720kB;6462:423012kB;6463:1490592kB"
802.4,5704136,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
807.4,5700808,8216168,1924328,3,"6459:10724kB;6462:423012kB;6463:1490592kB"
