bucket,n_samples,mean_odd_frac,std_odd_frac,mean_steps,abs_dev_from_theory
<20,14,0.13095528571428572,0.028750847177962432,17.785714285714285,0.2558975215202559
20-50,1499,0.25061778585723815,0.03034185834816647,39.28619079386257,0.13623502137730348
50-100,6402,0.29782352858481725,0.022777689641387325,76.40299906279287,0.08902927864972437
100-200,19649,0.3234139558247239,0.021082742834886658,152.74278589241183,0.06343885140981775
200-500,44999,0.3336366628147292,0.01342196528339908,320.31205137891953,0.05321614441981243
500-700,3531,0.34896096290002837,0.00489333284037812,555.6794109317474,0.03789184433451326
700-900,1143,0.35815351968503933,0.002824340580060736,748.0157480314961,0.028699287549502295
900-1100,20,0.364056,0.0012239197170093416,951.45,0.02279680723454164
1100-1300,1,0.367089,,1106.0,0.01976380723454163
